X,Y,Z,Temperature_C,Pressure_Pa,V_Mag_ms,Power_W_Input
0.099,0.011,0.013,22.383,164880.062,5.198,68.000
0.097,0.013,0.012,20.630,191716.094,7.825,68.000
0.048,0.024,0.013,20.212,291201.562,8.944,68.000
0.048,0.015,0.013,21.061,230932.875,8.876,68.000
0.048,0.017,0.011,21.761,225254.094,8.073,68.000
0.049,0.006,0.013,19.147,221737.812,6.859,68.000
0.050,0.015,0.013,21.800,236935.719,8.399,68.000
0.050,0.004,0.013,19.610,230774.000,6.385,68.000
0.051,0.022,0.011,21.290,247418.781,5.432,68.000
0.048,0.017,0.014,21.061,246656.812,8.703,68.000
0.050,0.022,0.011,21.119,252985.438,6.189,68.000
0.050,0.017,0.010,21.302,224167.250,7.318,68.000
0.043,0.001,0.013,24.985,88359.117,0.831,68.000
0.055,0.000,0.016,24.713,14040.742,1.543,68.000
0.051,0.005,0.012,20.049,265624.438,6.925,68.000
0.047,0.002,0.011,20.335,243858.250,6.392,68.000
0.048,0.000,0.009,26.345,-47780.984,-0.073,68.000
0.050,0.020,0.010,21.060,260283.375,6.114,68.000
0.052,0.000,0.010,25.150,43174.336,2.339,68.000
0.049,0.009,0.011,21.838,247428.969,8.359,68.000
0.049,0.001,0.022,21.065,159828.344,2.074,68.000
0.049,0.016,0.011,22.078,212424.812,7.980,68.000
0.045,0.001,0.017,20.945,266653.719,4.570,68.000
